City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,nar'yan-mar,67.6713,53.087,11.25,72,11,8.36,RU,1722788450
177,nelson bay,-32.7167,152.15,10.56,94,100,3.18,AU,1722788451
178,al kharijah,25.4514,30.5464,38.57,14,99,2.96,EG,1722788452
179,westport,41.1415,-73.3579,27.36,76,100,4.12,US,1722788192
180,tsiombe,-25.3,45.4833,17.95,82,0,2.84,MG,1722788455
181,cambridge,43.3601,-80.3127,28.79,55,75,5.14,CA,1722788253
182,bontang,0.1333,117.5,25.51,89,66,4.24,ID,1722788457
183,saldanha,-33.0117,17.9442,12.03,60,23,5.32,ZA,1722788458
184,gorontalo,0.5412,123.0595,24.44,89,100,1.19,ID,1722788459
185,chonchi,-42.6128,-73.8092,8.95,98,100,1.56,CL,1722788461
186,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,100,20,3.0,RU,1722788462
187,carnarvon,-24.8667,113.6333,18.02,68,0,7.31,AU,1722788463
188,sidney,-33.8679,151.2073,10.22,90,100,3.6,AU,1722788407
189,zapolyarnyy,69.4154,30.8136,14.6,61,6,7.12,RU,1722788465
190,gebeit,21.0667,36.3167,30.8,44,91,8.3,SD,1722788466
191,san patricio,28.017,-97.5169,32.73,54,5,1.37,US,1722788468
192,kutum,14.2,24.6667,21.22,86,100,4.57,SD,1722788469
193,dubinino,55.6192,89.0911,16.51,91,100,2.05,RU,1722788470
194,katsuura,35.1333,140.3,24.46,91,12,1.55,JP,1722788471
195,ust-nera,64.5667,143.2,8.7,78,31,2.41,RU,1722788472
196,lydenburg,-25.0978,30.4597,18.75,26,2,2.21,ZA,1722788474
197,recani,31.2846,-4.2688,42.77,6,1,4.81,MA,1722788475
198,yenangyaung,20.4667,94.8833,26.52,85,100,4.66,MM,1722788476
199,barra da estiva,-13.6261,-41.3269,21.33,55,86,5.0,BR,1722788477
200,port mathurin,-19.6833,63.4167,22.35,72,8,7.53,MU,1722788478
201,la ronge,55.1001,-105.2842,18.14,55,100,4.12,CA,1722788480
202,pisco,-13.7,-76.2167,17.03,82,100,2.57,PE,1722788481
203,pagar alam,-4.0167,103.2667,19.77,96,72,0.88,ID,1722788482
204,old town,50.087,14.4202,23.27,74,75,5.36,CZ,1722788483
205,aljezur,37.3191,-8.8033,24.78,56,8,3.22,PT,1722788485
206,kibre mengist,5.8833,38.9833,17.53,81,87,1.02,ET,1722788486
207,kruisfontein,-34.0033,24.7314,12.71,66,99,10.87,ZA,1722788487
208,ancud,-41.8697,-73.8203,8.11,92,100,3.35,CL,1722788488
209,chom bueng,13.62,99.5917,26.0,84,100,1.94,TH,1722788489
